"CNPJ","NOME","PROJETO","DATA","VALOR (R$)"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","540,69"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","109,07"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","305,74"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","241,92"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","246,40"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","481,60"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","304,92"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","346,64"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","520,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","629,60"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","466,62"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3201 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE AUTOMOÇÃO","25/01/2017","598,40"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3201 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE AUTOMOÇÃO","25/01/2017","660,27"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","266,11"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","246,40"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","481,60"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","304,92"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","520,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","629,60"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","466,62"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","289,94"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","544,32"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","241,92"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","40,59"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","397,44"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","495,04"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","220,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","435,45"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","322,24"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","131,41"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","346,64"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","393,60"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","532,52"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","688,47"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","109,07"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","24/01/2017","305,74"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","0101 - FCPC","23/01/2017","598,40"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","23/01/2017","894,02"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3205 - TC LANDIS/UFC/FCPC - FERRAMENTAS DE SUPORTE A SISTEMA DE MEDIÇÃO INTELIGENTE DE ENERGIA","23/01/2017","436,46"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3205 - TC LANDIS/UFC/FCPC - FERRAMENTAS DE SUPORTE A SISTEMA DE MEDIÇÃO INTELIGENTE DE ENERGIA","23/01/2017","359,52"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3205 - TC LANDIS/UFC/FCPC - FERRAMENTAS DE SUPORTE A SISTEMA DE MEDIÇÃO INTELIGENTE DE ENERGIA","23/01/2017","400,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3205 - TC LANDIS/UFC/FCPC - FERRAMENTAS DE SUPORTE A SISTEMA DE MEDIÇÃO INTELIGENTE DE ENERGIA","23/01/2017","336,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3205 - TC LANDIS/UFC/FCPC - FERRAMENTAS DE SUPORTE A SISTEMA DE MEDIÇÃO INTELIGENTE DE ENERGIA","23/01/2017","320,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","23/01/2017","364,67"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3214 - CT UNIFOR/FCPC - PARTICIPAÇÃO NA RNP","23/01/2017","720,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3149 - CT - RNP/FCPC-ASSOCIAÇÃO DAS PIONEIRAS SOCIAIS","20/01/2017","200,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3118 - CT IFCE/FCPC - ACESSO A RNP","20/01/2017","168,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3118 - CT IFCE/FCPC - ACESSO A RNP","20/01/2017","280,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3146 - TC - PETROBRAS/UFC/FCPC-ONTOLOGIA DOS DADOS GEOLÓGICOS GERADOS EM POÇOS DE E&P","20/01/2017","661,60"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3146 - TC - PETROBRAS/UFC/FCPC-ONTOLOGIA DOS DADOS GEOLÓGICOS GERADOS EM POÇOS DE E&P","20/01/2017","124,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3146 - TC - PETROBRAS/UFC/FCPC-ONTOLOGIA DOS DADOS GEOLÓGICOS GERADOS EM POÇOS DE E&P","20/01/2017","100,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3178 - CT.UFC/FCPC-FARMACIA ESCOLA","20/01/2017","130,19"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3178 - CT.UFC/FCPC-FARMACIA ESCOLA","20/01/2017","89,95"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3178 - CT.UFC/FCPC-FARMACIA ESCOLA","20/01/2017","4,28"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","20/01/2017","114,40"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","20/01/2017","279,92"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","20/01/2017","120,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","20/01/2017","351,84"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","20/01/2017","248,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","20/01/2017","453,70"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","20/01/2017","893,01"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3192 - UNESCO/UFC/FCPC - SERVIÇOS DE CONSULTORIA - COMPORTAMENTO, ATITUDES PRATICAS E PREVALENCIA DE VIRUS DA IMUNODEFICIÊNCIA HUMANA (HIV), SIFILIS E HEPATITE B E C ENTRE HOMENS QUE FAZEM SEXO COM HOMENS","20/01/2017","127,84"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","192,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","283,52"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","224,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","144,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","120,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","489,20"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","264,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","218,40"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","216,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","184,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","370,40"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","312,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","656,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3216 - TC LENOVO/UFC/FCPC - DIAG CLOUD 2016","20/01/2017","200,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3225 - TC HITACHI/FCPC/UFC-HDS/OPENSTACK 2016","20/01/2017","115,20"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3225 - TC HITACHI/FCPC/UFC-HDS/OPENSTACK 2016","20/01/2017","211,20"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3225 - TC HITACHI/FCPC/UFC-HDS/OPENSTACK 2016","20/01/2017","74,96"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3225 - TC HITACHI/FCPC/UFC-HDS/OPENSTACK 2016","20/01/2017","320,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3224 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE DETECÇÃO DE FALHA SMART RMA F_2","20/01/2017","576,39"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3224 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE DETECÇÃO DE FALHA SMART RMA F_2","20/01/2017","208,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3224 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE DETECÇÃO DE FALHA SMART RMA F_2","20/01/2017","91,69"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3224 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE DETECÇÃO DE FALHA SMART RMA F_2","20/01/2017","256,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3224 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE DETECÇÃO DE FALHA SMART RMA F_2","20/01/2017","266,31"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3224 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE DETECÇÃO DE FALHA SMART RMA F_2","20/01/2017","671,63"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3224 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE DETECÇÃO DE FALHA SMART RMA F_2","20/01/2017","194,58"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3235 - TC. SCHNEIDER/UFC/FCPC - ATUALIZAÇÃO TECNOLÓGICA EM NOBREAKS","20/01/2017","581,56"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3235 - TC. SCHNEIDER/UFC/FCPC - ATUALIZAÇÃO TECNOLÓGICA EM NOBREAKS","20/01/2017","556,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3235 - TC. SCHNEIDER/UFC/FCPC - ATUALIZAÇÃO TECNOLÓGICA EM NOBREAKS","20/01/2017","380,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3235 - TC. SCHNEIDER/UFC/FCPC - ATUALIZAÇÃO TECNOLÓGICA EM NOBREAKS","20/01/2017","217,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3235 - TC. SCHNEIDER/UFC/FCPC - ATUALIZAÇÃO TECNOLÓGICA EM NOBREAKS","20/01/2017","541,93"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","110,24"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","84,80"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","169,60"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","101,76"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","212,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","70,22"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","37,66"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","195,04"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","115,07"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","93,28"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","203,52"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","79,45"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","313,76"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","12,06"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","220,48"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","253,04"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","144,16"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","406,39"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","111,36"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","19/01/2017","72,54"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","19/01/2017","142,22"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","19/01/2017","62,57"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","19/01/2017","93,86"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2930 - CT - UFC/FCPC - ATENDIMENTO EDUCACIONAL ESPECIALIZADO - AEE","19/01/2017","200,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2930 - CT - UFC/FCPC - ATENDIMENTO EDUCACIONAL ESPECIALIZADO - AEE","19/01/2017","104,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2943 - CT - EVONIK/FCPC - EFEITO BIOLOGICO DO MetMet EM CA","19/01/2017","74,96"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3022 - CT.UFC/FCPC - CURSO DE ESPECIALIZAÇÃO EM SAUDE DA FAMILIA","19/01/2017","160,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3022 - CT.UFC/FCPC - CURSO DE ESPECIALIZAÇÃO EM SAUDE DA FAMILIA","19/01/2017","240,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3022 - CT.UFC/FCPC - CURSO DE ESPECIALIZAÇÃO EM SAUDE DA FAMILIA","19/01/2017","400,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3022 - CT.UFC/FCPC - CURSO DE ESPECIALIZAÇÃO EM SAUDE DA FAMILIA","19/01/2017","280,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3022 - CT.UFC/FCPC - CURSO DE ESPECIALIZAÇÃO EM SAUDE DA FAMILIA","19/01/2017","120,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","19/01/2017","528,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","19/01/2017","85,82"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","19/01/2017","473,93"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","19/01/2017","440,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","19/01/2017","352,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3045 - CV - APPLE/IFCE/FCPC - PROJETO BEPiD","19/01/2017","44,12"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","19/01/2017","858,50"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3073 - CT - CNPEM/FCPC-SERVIÇOS DE SOLDAGEM EM AÇO INOXIDAVEL","19/01/2017","393,65"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","19/01/2017","202,66"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2922 - CT.PETROBRAS - PROJETO AMBES","19/01/2017","92,80"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","2975 - CT - RNP/FCPC - MANUTENCAO E OPERACAO DO POP-CE","19/01/2017","794,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1016 - CARTA -  UFC/FCPC RADIO UNIVERSITARIA FM","18/01/2017","165,44"
